pageid,title,date,primary_category,entity,entity_type,expected_label,is_correct,error_type,comments,context
40939,Spanish Socialist Workers' Party proposes human rights bill for great apes,2006-05-16,Politics and conflicts,Cebinae,PERSON,PERSON,Yes,,No obvious issue detected automatically.,"gn the lesser apes gibbons (Hylobates), siamangs (Symphalangus) or the new world anthropoids (Platyrrhines) similar rights. The latter include the species of the capuchin monkeys (Cebinae), a tool using species that possibly demonstrates a degree of self-awareness in the mirror test experiment. The proposal is scheduled to be discussed in parliament at the end of M"
121365,"Brazil's Embraer plans to cut around 4,200 jobs",2009-02-23,Economy and business,US$6.3 billion,MONEY,MONEY,Yes,,No obvious issue detected automatically.,"of Embraer of their delivery figures for this year within three months. Revenue for 2009 is now predicted to be US$5.5 billion, down thirteen percent from the previous estimate of US$6.3 billion. Embraer is the world's fourth-largest airframer, following Airbus, Boeing and Bombardier. Embraer stock fell 1.9% after the announcement, or 16 centavos, to 8.46 reais in São Pau"
106697,Lewis Hamilton wins 2008 Monaco Grand Prix,2008-05-28,Sports,3,CARDINAL,CARDINAL,Partial,Suspicious entity boundary,Entity is unusually short and may be incorrectly detected.,"aren Mercedes driver Lewis Hamilton has won the FIA Formula-1 2008 Grand Prix de Monaco on the Circuit de Monaco in Monte Carlo, Monaco on May 25. It became the first time in the 23 year old Briton's career in F1. Last year, he finished in second place after his former teammate Fernando Alonso. In this race Alonso finished on a distant 10th place in his Renau"
30932,Free Software Foundation releases first draft of GPLv3,2006-01-16,Economy and business,the Free Software Foundation,ORG,ORG,Yes,,No obvious issue detected automatically.,"The Free Software Foundation released the first draft for the next version of the GNU General Public License at the International Public Conference for GPLv3 in Cambridge, Massachusetts, USA, today. The revis"
2854354,Simple animals could live in Martian brines: Wikinews interviews planetary scientist Vlada Stamenković,2019-01-09,Science and technology,Martian,NORP,NORP,Yes,,No obvious issue detected automatically.,"Planetary scientist Vlada Stamenković of the NASA Jet Propulsion Laboratory and colleagues have developed a new chemical model of how oxygen dissolves in Martian conditions, which raises the possibility of oxygen-rich brines; enough, the work suggests, to support simple animals such as sponges. The model was published in Nature on October "
40939,Spanish Socialist Workers' Party proposes human rights bill for great apes,2006-05-16,Politics and conflicts,su parecido con,PERSON,PERSON,Yes,,No obvious issue detected automatically.,"s que se reconozcan los 'derechos humanos' de los simios"" — El Mundo, April 24, 2006 ?. ""El Grupo Socialista solicitará derechos fundamentales para los grandes simios argumentando su parecido con los humanos"" — 20 minutos, April 24, 2006"
723166,Study: Taste of beer causes chemical reward in male brain,2013-04-16,Science and technology,15,CARDINAL,CARDINAL,Yes,,No obvious issue detected automatically.," human body and is associated with drug- and alcohol-related use and pleasure. In men with family histories of alcoholism, the dopamine release was greater. The scientists sprayed 15 milliliters (about one tablespoon) of either beer or a sports drink into the mouths of the participants over a period of 15 minutes, scanning their brains and noting increases in "
40939,Spanish Socialist Workers' Party proposes human rights bill for great apes,2006-05-16,Politics and conflicts,Maerkische Allgemeine,PRODUCT,PRODUCT,Yes,,No obvious issue detected automatically.,", they aren't granted to all human beings. Jos Verhulst. ""Spain May Grant Human Rights to Apes"" — The Brussels Journal, April 27, 2006 Martin Dahms. ""Wie menschlich sind Affen?"" — Maerkische Allgemeine, May 10, 2006 Ángel Pestaña. ""Algo más que monos, mucho menos que humanos"" — El País, May 13, 2006 ?. ""El PSOE solicitará al Congreso de los Diputados que se reconozcan los 'derec"
203416,Two time Tour de France winner Laurent Fignon dies at age 50,2010-08-31,Sports,Valerie,PERSON,PERSON,Yes,,No obvious issue detected automatically.,"Laurent Fignon, the two time former winner of the Tour de France, has died at the age of 50.  His death was confirmed by his wife, Valerie.  The cause of death was announced as cancer.  Fignon had been battling the disease since 2009. Fignon won the Tour de France in 1983 and 1984 but is also remembered for the 1989 "
114565,Worldwide markets fall precipitously,2008-10-06,Economy and business,CAC,ORG,ORG,Yes,,No obvious issue detected automatically.,"art of the day as of 16:08 UTC. The Dow Jones index was one that fared particularly poorly today, as not one of its companies increased its share price. The same is true for the 	
CAC 40 index. The Merval index is another one that fared badly today. It dropped in value by 10.12%, while the affiliated Merval 25 index dropped by nearly as much, 10.03%. One of the"
42751,"Germany wins, 4-2 over Costa Rica in first World Cup match",2006-06-09,Sports,Costa Rica's,GPE,GPE,Yes,,No obvious issue detected automatically.,"ut any chance of the Central American team pulling off a shock was ended when Frings' bullet hit the back off the net. The game was played in spirit, the only yellow card going to Costa Rica's Daniel Fonseca for a first-half challenge. Group A Attendance: 64,950 Referee: Horacio Marcelo Elizondo (Argentina)."
104827,Wikinews interviews Mr. Orange of IWL in Taiwan about wrestling,2008-04-29,Sports,their own years,DATE,DATE,Yes,,No obvious issue detected automatically.,"as of wrestling should be corrected. ((WN)) Generally OK. In your opinion, which pro-wrestling match do you recommend? Orange: There were several feature or significant matches in their own years. But I recommended two classic matches like NWA Championship in 1989 - ""Ric Flair vs Ricky Steamboat"", and a Steel Cage Match in 1981 - ""Ric Flair vs Jimmy 'Super Fly' Snuka"". ((W"
108421,Technology giants battle for USB 3.0 standards,2008-06-24,Science and technology,Hewlett-Packard,ORG,ORG,Yes,,No obvious issue detected automatically.,"technology leaders Intel, AMD, and nVidia are battling to take the lead on the USB 3.0 specifications. The USB Implementers Forum (USB-IF) was founded in 1995 by Intel, Microsoft, Hewlett-Packard, Texas Instruments, NEC, and NXP Semiconductors. These companies are also promoting the new standard of USB 3.0. But AMD, nVidia, and VIA Technologies have jointly made an attempt"
106697,Lewis Hamilton wins 2008 Monaco Grand Prix,2008-05-28,Sports,McLaren,PERSON,PERSON,Yes,,No obvious issue detected automatically.,"Vodafone McLaren Mercedes driver Lewis Hamilton has won the FIA Formula-1 2008 Grand Prix de Monaco on the Circuit de Monaco in Monte Carlo, Monaco on May 25. It became the first time in the 23 ye"
250064,Japan earthquake shifts Earth's axis 10 centimetres,2011-03-14,Science and technology,La Nación,PERSON,PERSON,Yes,,No obvious issue detected automatically.,"004 earthquake in Sumatra."" ((fr))French language: ‍ce phénomène a exercé sur l'axe de rotation de la Terre une action plus importante que le séisme de 2004 à Sumatra According to La Nación, the impact of the Japanese earthquake caused an energy release one hundred times larger than that of the earthquake which struck Haiti in 2010. Leading the research at the Nation"
40939,Spanish Socialist Workers' Party proposes human rights bill for great apes,2006-05-16,Politics and conflicts,the Great Ape Project,ORG,ORG,Yes,,No obvious issue detected automatically.," with the great apes. The proposal was submitted by Francisco Garrido, a delegate of the Confederación de Los Verdes, and is inspired by the Declaration on Great Apes published by the Great Ape Project. Founded in 1993, the Great Ape Project (GAP), calls for an extension of moral egalitarianism to encompass all great apes. The Declaration on Great Apes demands the right to live,"
191131,United States and England open World Cup with 1–1 draw,2010-06-13,Sports,Jozy Altidore,PERSON,PERSON,Yes,,No obvious issue detected automatically.," easy stop until it bounced off English goalkeeper Robert Green and in for a goal. Both teams had several chances to earn the go-ahead goal in the second half, including a shot by Jozy Altidore that was deflected by Green and bounced off the goal post. A couple of saves by U.S. goalkeeper Tim Howard also played a large role in the second half. The draw means both teams e"
51675,IRA disbands military structure,2006-10-05,Politics and conflicts,Paisley,PERSON,PERSON,Yes,,No obvious issue detected automatically.,"eek in Scotland are going to be so important."" said Tony Blair in a live statement. In a surprising reaction, the notoriously hardline leader of the Democratic Unionist Party, Ian Paisley, also welcomed the report. He believes that his party's pressure is working and if Sinn Fein signs up to policing there could be a deal. Paisley said, ""If the police question is s"
191131,United States and England open World Cup with 1–1 draw,2010-06-13,Sports,Germany,GPE,GPE,Yes,,No obvious issue detected automatically.,eria 1–0. On Sunday the first round of games in Group C concludes when Algeria and Slovenia face off. All four Group D teams will also be in action with Serbia taking on Ghana and Germany facing Australia.
5796,"Brazilian President party received money from FARC, say documents",2005-03-15,Politics and conflicts,FARC,ORG,ORG,Yes,,No obvious issue detected automatically.," Workers' Party received 5 million dollars to be used by political campaign of  candidates in 2002 from the Colombian communist armed group Revolutionary Armed Forces of Colombia (FARC-EP). The information was reported by the Brazilian magazine Veja that circulates this week in a headline story called ""FARC's tentacles in Brazil"". According to the magazine, repo"
45245,"Juventus, Lazio and Fiorentina relegated from Italy's Serie A",2006-07-14,Sports,less than a week,DATE,DATE,Yes,,No obvious issue detected automatically.,"teams The results of the match-fixing trial could have huge consequences on football in the whole of Europe, let alone Italy. Thirteen of Italy's squad which had won the World Cup less than a week before play their club football for one of the accused teams and the rulings could spark a massive sell-out. 12 Juventus players went to the World Cup, including five for Italy. A"
5796,"Brazilian President party received money from FARC, say documents",2005-03-15,Politics and conflicts,Luiz Inácio Lula da Silva,PERSON,PERSON,Yes,,No obvious issue detected automatically.,nts of Abin that described the liaisons  between the Workers' Party (PT) and the Colombian guerrilla movement FARC. The Workers' Party (PT) is the party of the Brazilian President Luiz Inácio Lula da Silva.  PT is one of the biggest left-wing parties in Latin America and at this moment the strongest and more organized party from Brazil. It is one of the political Brazilian parties t
5796,"Brazilian President party received money from FARC, say documents",2005-03-15,Politics and conflicts,Brazilian,NORP,NORP,Yes,,No obvious issue detected automatically.,"Brazil —
Documents of the Brazilian Agency of intelligence (Abin) say that the Workers' Party received 5 million dollars to be used by political campaign of  candidates in 2002 from the Colombian communist armed gro"
47239,Nigeria hands over disputed area to Cameroon,2006-08-14,Politics and conflicts,Monday,DATE,DATE,Yes,,No obvious issue detected automatically.,"the police. The Nigerian flag was lowered Cameroon flag was then raised. The Nigerian Justice Minister Bayo Ojo and his Cameroonian counterpart, Maurice Kamto signed the documents Monday transferring authority at exactly 12:30 pm (1130GMT). Speaking at the event, Mr. Ojo said ""We yield ground in order to give way to peace."", adding, ""We have reason to celebrate th"
121365,"Brazil's Embraer plans to cut around 4,200 jobs",2009-02-23,Economy and business,"4,000",CARDINAL,CARDINAL,Yes,,No obvious issue detected automatically.,"nufacturer also produces military aircraft, but statistics for these are not published. In December, the Metalworkers Union of São José dos Campos, claimed the firm planned to cut 4,000 jobs, which Embraer at the time denied. Embraer said they would only take ""such a drastic decision if there are risks to the company’s profitability and sustainability."" The new s"
4464,Howard Dean elected chairman of U.S. Democrats,2005-02-13,Politics and conflicts,Nancy Pelosi,PERSON,PERSON,Yes,,No obvious issue detected automatically.,"obilized support from across the country in his Dean for America campaign, using the Internet as a medium for organizing fundraising. According to MSNBC, the House Minority Leader Nancy Pelosi said ""He has used the power of technology, the force of his personality and the depth of his ideals to bring new people into the party."" Dean did not win the party's nomination, w"
